hist,,119,,434,,126,,534,,245,,460,,370,,585,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1980.3827751196172,156.24999999999955,2014.8325358851675,362.49999999999955,2014.8325358851675,362.49999999999955,2014.5933014354066,362.49999999999955,2015.0717703349283,362.49999999999955,2014.8325358851675,356.25,2014.5933014354066,356.25,2014.3540669856459,362.49999999999955,2015.311004784689,368.74999999999955
1988.2775119617224,193.74999999999955,2021.7703349282297,431.24999999999955,2026.5550239234449,481.25,2024.8803827751196,468.75,2027.2727272727273,499.99999999999955,2024.641148325359,474.99999999999955,2025.1196172248804,474.99999999999955,2032.0574162679425,587.4999999999995,2025.358851674641,481.25
1998.3253588516745,256.24999999999955,2030.8612440191387,512.4999999999995,2037.799043062201,593.7499999999995,2035.6459330143541,574.9999999999995,2041.1483253588517,737.4999999999995,2039.2344497607655,662.4999999999995,2045.933014354067,737.4999999999995,2046.6507177033493,818.7499999999995,2041.1483253588517,756.25
2004.7846889952152,293.74999999999955,2043.0622009569379,574.9999999999995,2050.2392344497607,668.7499999999995,2050.2392344497607,706.2499999999995,2052.6315789473683,943.75,2050.4784688995214,799.9999999999995,2057.8947368421054,912.4999999999995,2061.961722488038,1131.2499999999995,2050.2392344497607,968.7499999999995
2010.2870813397128,331.24999999999955,2050,599.9999999999995,2065.7894736842104,743.75,2063.8755980861242,774.9999999999995,2065.7894736842104,1037.4999999999995,2064.8325358851675,987.4999999999995,2073.9234449760766,1168.7499999999995,2075.8373205741627,1437.4999999999995,2063.397129186603,1337.4999999999995
2015.0717703349283,362.49999999999955,2064.354066985646,612.4999999999995,2083.971291866029,756.25,2078.7081339712918,806.2499999999995,2083.0143540669856,1006.25,2079.904306220096,1162.4999999999995,2087.3205741626793,1362.5,2086.842105263158,1731.2499999999998,2077.272727272727,1874.9999999999998
,,2078.2296650717703,593.7499999999995,2099.5215311004786,706.2499999999995,2092.5837320574165,793.7499999999995,2095.4545454545455,943.75,2091.3875598086124,1268.7499999999995,2099.7607655502393,1506.25,2094.497607655502,1931.2499999999998,2087.799043062201,2356.25
,,2091.1483253588517,556.2499999999995,,,2099.5215311004786,774.9999999999995,2099.7607655502393,912.4999999999995,2099.7607655502393,1312.4999999999995,,,2099.7607655502393,2062.5,2099.7607655502393,2887.5
,,2100.2392344497607,518.7499999999995,,,,,,,,,,,,,,
