CNRM,,IPSL,,UKESM,,CanESM,,MPI,,CESM,,MIROC,,C4MIP,,GCB2019,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1931.819692745066,6.534233024438208,1933.639166803346,27.606571679594367,1931.228363676125,38.8297242096271,1931.122227689392,48.322850910617035,1933.775627357717,71.95469170663682,1931.198039108487,70.99260319449388,1931.5297140670275,76.3071671343763,1929.871794871795,81.40243902439022,1929.871794871795,81.40243902439022
1934.457930129572,7.315344886729463,1935.367667158712,29.20935913604046,1933.6456649249826,39.891513322797095,1937.642009731562,53.96410930032823,1939.461483789842,79.46158234057532,1936.6672914860549,78.45046074595996,1933.8609152041988,79.22138524244224,1932.948717948718,87.76969981238267,1933.3333333333335,87.76530253283295
1936.732272702422,7.649908999961212,1938.324312503417,30.798105300687666,1940.2954093998871,42.67426457400734,1940.3387302107985,56.27227749595818,1943.8585460973522,84.27895887254954,1939.370510086928,83.03223084023728,1936.353215606947,82.56193423961668,1937.3076923076924,93.20766885553462,1937.3076923076924,95.03693714821759
1939.6889180471271,7.403043864126289,1941.6221092340497,32.38295110650165,1943.1762433254971,44.71458561687666,1941.735826362692,56.7198901048896,1944.9199059646821,84.26682442284687,1954.130993384725,105.25465530328779,1938.9213274287902,85.75513634754384,1940.2564102564104,96.83249296435258,1940,97.75005863039394
1942.190694877262,6.931927794175067,1946.2845115083921,36.386019388783666,1945.2041987862885,47.14775946887107,1946.9668142802473,61.85224228128982,1950.475799964073,91.27298327517553,1958.7284144427003,111.92408317636648,1941.735826362692,86.93987034307145,1944.1025641025642,105.02022748592867,1945.5128205128206,106.83337242026266
1944.692471707397,7.050829642236181,1949.8097424963098,39.59081422990903,1948.1039855666722,49.2718594315221,1950.6436681063547,67.02940524694941,1952.8042935505623,93.10070380641673,1964.138100705265,121.36573752285199,1943.6007872724292,89.79857334374742,1947.1794871794873,105.89968339587244,1948.2051282051284,110.46112804878044
1947.1942485375323,7.243483730048524,1955.0407304138648,43.58738191413602,1950.5299509777124,50.94042506077221,1952.5389535837298,69.57677293811025,1955.3818817997924,95.50505834036721,1972.4394510961677,129.9735930819271,1946.5119457656772,93.54140495698334,1951.1538461538462,114.0859521575984,1952.0512820512822,114.99032598499059
1949.1956700016403,8.607143732223335,1958.679678530425,48.41342591018372,1953.2591620651324,54.4247456182635,1955.6093160570774,71.16421898314638,1959.36198130228,101.1384766148484,1975.0549450549452,132.84215335310842,1949.0990104422942,96.59098324545846,1955.897435897436,121.3487922138836,1956.1538461538462,122.26049484052521
1952.4252364550873,8.732475262724051,1964.1001949957174,54.03037600292555,1954.5858618992947,56.57297658884613,1963.8538078836586,78.06720405777321,1963.91066644798,108.38794356580797,1978.6711497457768,136.6138003446316,1951.5154994259474,100.04814903198348,1959.3589743589744,125.88238742964347,1960.769230769231,133.18333724202625
1954.5858618992947,9.51904762738161,1966.9810289213276,56.431263551246616,1957.99737575857,58.96779691231586,1965.73014050626,80.78380398496654,1967.2842745977075,111.05362214157037,1982.6739926739929,139.91454401304907,1953.7248607824301,105.83878047137466,1963.5897435897436,133.1510905253284,1964.871794871795,143.19740853658539
1957.454060588389,13.452487281607546,1972.2769980552498,59.84760642621973,1961.18145536056,63.79904138680752,1969.0279372368925,83.17992442804723,1969.612768184197,113.7698815612464,1992.6810999945328,151.57283475761574,1956.6555136405884,110.9047151087899,1968.7179487179487,140.40953330206378,1970,151.3704854596623
1960.9085342518179,14.476663728062931,1975.2823793122302,62.42091459914309,1963.7969493193375,67.2460299383257,1972.8943196107375,88.8146428221396,1972.0603940006927,118.03006397421893,1994.8417254387405,153.46569071854606,1958.9924006341919,115.94846413370021,1971.4102564102566,142.2080206378987,1973.846153846154,156.81431754221387
1963.3420808047674,15.097860878200777,1978.324312503417,64.71855098169021,1967.0947460499701,71.7427722100432,1980.5361106555138,98.62482535893298,1975.8509649554426,126.09947302651835,1999.7821029164313,156.83458954612695,1961.7500410037724,116.30413549182879,1976.5384615384617,148.55182926829264,1976.5384615384617,163.18597560975604
1965.7175052697442,15.250986076830145,1981.0819528729978,67.08704388303715,1972.4678803783283,77.66449200826469,1982.3328412880653,101.28148977205899,1979.4141016529077,132.54893304350662,2002.4607730577882,159.13125740522662,1964.4287111451292,119.64972409406107,1980.1282051282053,152.16932457786106,1980.2564102564104,168.63127345215753
1967.8907659504675,15.393545224017657,1984.3342627521733,68.96987710369353,1974.7137936690176,80.23858109718822,1987.3136515226067,108.12037894986327,1983.3562954458478,137.3715100539249,2005.4174184024932,162.26880060465555,1966.5716472582146,123.93399380242988,1983.3333333333335,156.70585131332086,1985,177.7233818011257
1971.7571483243125,15.149156506489362,1987.9959542944619,72.90325897482569,1977.6135804494015,84.70431467194976,1991.089060193538,112.26880060465544,1987.8291691724528,149.21906669580255,2007.7827346782572,163.7020524638266,1969.0279372368925,124.55493092864538,1989.871794871795,164.86280487804868,1990.6410256410256,185.89059568480297
1974.1452080258052,14.649839660248745,1990.4067574216829,74.55233068942334,1982.6285058225358,92.27296098741078,1995.1449711151204,119.65911384680714,1990.634191678968,151.48560855098663,2010.4892023399486,167.97086519459776,1972.3257339675251,124.51722745992629,1994.1025641025642,170.30223968105054,1995.897435897436,192.232938555347
1976.9881362418678,12.508022613080357,1992.9995079547318,76.091152261008,1984.5844404351867,95.17118762426128,1999.276693455798,124.61473643075146,1992.756911413628,155.112075519281,2012.4678803783281,170.30093956143958,1975.598260225126,128.89675259846115,1996.2820512820513,173.0212242026265,2000.1282051282053,199.50164165103183
1979.4899130720028,13.511951338159292,1995.6377453392379,78.8193232527392,1987.1544475425073,98.71141332502577,2002.8777358628106,130.92855063499167,1996.5095766588304,165.34531697749514,1930,69.5107293621013,1979.388831179876,126.78015787174638,2000.1282051282053,178.4650562851781,2005.3846153846155,204.92935037523443
1981.9916899021378,14.515880063238455,1998.275982723744,80.89847453465711,1991.0511544839903,101.31702637475962,2004.8488327592806,134.6919635356452,1999.231206604341,169.31648899198717,1933.9743589743591,74.95309568480297,1981.9916899021378,130.89691439112391,2005.3846153846155,186.63666744840515,2011.2820512820513,213.09363273921196
1984.4934667322727,14.85603863055394,2000.8914766825214,83.3023956954039,1993.590837023673,104.15449408845609,2009.9661035481931,140.92083659196635,2003.749567182403,175.53868810097185,1941.7948717948718,86.75392823639766,1984.4934667322727,129.68827592365756,2010.2564102564104,192.06877345215753,2013.5897435897436,213.98188320825506
1986.9952435624077,15.638710636378505,2003.461483789842,85.54458197654174,1996.8886337543054,108.01090887861676,2012.5815975069706,146.36703764246306,2007.1610810416782,181.0433945339637,1945.3846153846155,92.20069183864916,1986.9952435624077,132.83101960153056,2013.846153846154,197.51553705440892,,
1989.497020392543,18.043931916736256,2005.9047775252468,87.9736511651929,2000.9662050813438,114.6862801556315,1929.871794871795,47.560975609756156,2009.5112350336233,188.18278469119144,1948.3333333333335,96.74015009380855,1989.497020392543,132.94992144959144,2013.846153846154,197.51553705440892,,
1991.9229858035828,17.295063020797784,2007.6917609753432,88.41680622117224,2003.8538078836586,119.08630281485887,1934.1025641025642,51.17114212007505,2013.0364660215407,197.8777766304499,1951.2820512820513,99.45034005628509,1991.998797222678,135.79765616845827,,,,
1994.500574052813,17.912974414100518,2010.5574326171343,91.62914175604146,2005.6827583693257,119.94427341482083,1944.6153846153848,59.28265712945597,1930,66.7668269230769,1956.4102564102566,108.53805112570342,1994.5258445258446,136.52267640567368,,,,
1997.002350882948,18.17938074166443,2012.9227488928982,94.03592317993241,2008.7379585588542,122.47837988594938,1960,73.74091228893053,1947.1794871794873,87.6070004690431,1961.4102564102566,117.62722795497177,1997.144497293751,139.6476944628905,,,,
1999.6990713621844,20.361116526291767,1952.4358974358975,41.81519699812384,2012.5815975069706,124.62487736371747,1962.3076923076924,76.4584310506566,1957.4358974358975,101.20925187617252,1968.3333333333335,125.7797842401501,1999.4131540101691,141.5688162060908,,,,
2001.930093124123,20.966600802273774,1969.871794871795,58.993902439024396,1929.871794871795,38.41463414634143,1975.769230769231,91.85330675422131,1961.6666666666667,105.73405253283295,1970.6410256410256,127.58266885553462,2001.8109608941168,143.18713080531973,,,,
2004.507681373353,21.559928115659204,1930.1282051282053,25.60682457786106,1936.9230769230771,42.907188086303904,1977.820512820513,95.48839118198862,2011.4102564102566,192.97021575984985,1977.1794871794873,135.73962242026266,2004.3939642447106,146.70402864563528,,,,
2007.009458203488,21.531325484217177,2014.2307692307693,96.90138367729821,2014.1025641025642,127.08577626641636,1984.7435897435898,105.4702157598499,2013.9743589743591,198.4287054409005,1981.025641025641,139.35418621013127,2006.9841877304566,148.09865250658606,,,,
2009.5112350336233,21.207713893768982,,,,,2013.9743589743591,149.95309568480297,,,1986.025641025641,143.87019230769226,2009.4354236145282,151.22558462878578,,,,
2012.4678803783281,23.165221257173698,,,,,,,,,1988.846153846154,146.5818480300187,2012.0130118637583,154.8919219318177,,,,
2014.0599201793232,21.819479267092447,,,,,,,,,1991.1538461538462,151.12863508442774,2016.7566745029433,158.928359950782,,,,
1929.871794871795,6.402439024390219,,,,,,,,,1997.5641025641025,155.62851782363964,1930,74.9985342401501,,,,
,,,,,,,,,,2013.9743589743591,172.81894934333945,,,,,,
